Index,Problem_Link,Editorial_Link,Tags
1,https://atcoder.jp/contests/abc447/tasks/abc447_a,https://atcoder.jp/contests/abc447/editorial/16985,"implementation, greedy, math"
2,https://atcoder.jp/contests/abc447/tasks/abc447_b,https://atcoder.jp/contests/abc447/editorial/16986,"implementation, string, counting"
3,https://atcoder.jp/contests/abc447/tasks/abc447_c,https://atcoder.jp/contests/abc447/editorial/16762,"implementation, string, greedy"
4,https://atcoder.jp/contests/abc447/tasks/abc447_d,https://atcoder.jp/contests/abc447/editorial/16761,"greedy, string, implementation"
5,https://atcoder.jp/contests/abc447/tasks/abc447_e,https://atcoder.jp/contests/abc447/editorial/16743,"greedy, dsu, connectivity, spanning tree"
6,https://atcoder.jp/contests/abc447/tasks/abc447_f,https://atcoder.jp/contests/abc447/editorial/16739,"dp on trees, diameter, tree"
7,https://atcoder.jp/contests/abc447/tasks/abc447_g,https://atcoder.jp/contests/abc447/editorial/16733,"segment tree, greedy, prefix suffix, implementation"
8,https://atcoder.jp/contests/abc446/tasks/abc446_a,https://atcoder.jp/contests/abc446/editorial/16374,"implementation, string"
9,https://atcoder.jp/contests/abc446/tasks/abc446_b,https://atcoder.jp/contests/abc446/editorial/16375,"implementation, greedy, counting"
10,https://atcoder.jp/contests/abc446/tasks/abc446_c,https://atcoder.jp/contests/abc446/editorial/16372,"implementation, queue, simulation"
11,https://atcoder.jp/contests/abc446/tasks/abc446_d,https://atcoder.jp/contests/abc446/editorial/16373,"dp, implementation, subsequence"
12,https://atcoder.jp/contests/abc446/tasks/abc446_e,https://atcoder.jp/contests/abc446/editorial/16376,"reachability, bfs, modular arithmetic, search"
13,https://atcoder.jp/contests/abc446/tasks/abc446_f,https://atcoder.jp/contests/abc446/editorial/16385,"implementation, reachability, dfs, connectivity"
14,https://atcoder.jp/contests/abc446/tasks/abc446_g,https://atcoder.jp/contests/abc446/editorial/16377,"dp, segment tree, prefix sum, greedy, combinatorics"
